0 5 4 3 2 1 
Nome Top Jg Mid Adc Sup Prob(Top Jg Mid Adc Sup)
Aatrox 5 6 5 0 0 2 5 3 0 0
Ahri 0 0 3 0 6 0 0 3 0 4
Akali 1 0 1 0 0 3 0 3 0 0
Akshan 2 0 2 6 0 5 0 3 3 0
Alistar 0 0 0 0 2 0 0 0 0 2
Amumu 0 4 0 0 1 0 2 0 0 3
Anivia 0 0 0 0 0 0 0 2 0 0
Annie 6 6 4 6 3 3 5 3 4 4
Aphelios 0 0 0 1 0 0 0 0 2 0
Ashe 0 0 0 5 1 0 0 0 2 1
Aurelion_Sol 6 0 0 0 0 4 0 3 0 0
Azir 6 0 0 0 0 5 0 4 0 0
Bardo 0 0 0 0 1 0 0 0 0 4
Bel'Veth 0 2 0 0 0 0 2 0 0 0
Blitzcrank 0 0 0 0 1 0 0 0 0 3
Brand 0 1 0 0 2 0 5 5 0 4
Braum 0 0 0 0 4 0 0 0 0 1
Caitlyn 0 0 0 1 0 0 0 0 1 0
Camille 2 0 0 0 0 2 0 0 0 0
Cassiopeia 6 0 0 6 0 2 0 0 1 0
Cho'Gath 3 0 0 0 0 2 0 0 0 0
Corki 6 0 0 0 0 5 0 0 0 0
Darius 3 2 0 0 0 3 5 0 0 0
Diana 0 1 0 0 0 0 3 0 0 0
Dr.Mundo 3 2 0 0 0 3 4 0 0 0
Draven 1 0 0 0 0 3 0 0 0 0
Ekko 0 1 0 0 0 0 4 0 0 0
Elise 0 5 0 0 0 0 3 0 0 0
Evelynn 0 5 0 0 0 0 4 0 0 0
Ezreal 0 0 0 2 0 0 0 0 1 0
Fiddlesticks 0 1 0 0 0 0 3 0 0 0
Fiora 1 0 0 0 0 1 0 0 0 0
Fizz 0 0 0 0 0 0 0 0 0 0
Galio 0 0 0 0 3 0 0 0 0 2
Gangplank 1 0 0 0 0 2 0 0 0 0
Garen 4 3 0 0 0 3 5 0 0 0
Gnar 5 0 0 0 0 3 0 0 0 0
Gragas 2 2 0 0 6 2 3 0 0 2
Graves 3 1 0 0 0 4 3 0 0 0
Gwen 2 0 0 0 0 2 0 0 0 0
Hecarim 3 5 0 0 0 5 3 0 0 0
Heimerdinger 6 0 0 0 0 4 0 0 0 0
Illaoi 3 0 0 0 0 3 0 0 0 0
Irelia 1 0 0 0 0 3 0 0 0 0
Ivern 0 3 0 0 0 0 3 0 0 0
Janna 0 0 0 0 4 0 0 0 0 2
Jarvan_IV 2 2 0 0 0 5 1 0 0 0
Jax 2 1 0 0 0 2 3 0 0 0
Jayce 1 0 0 0 0 1 0 0 0 0
Jhin 0 0 0 2 0 0 0 0 3 0
Jinx 0 0 0 2 0 0 0 0 3 0
Kai'Sa 0 0 0 1 0 0 0 0 2 0
Kalista 0 0 0 1 0 0 0 0 2 0
Karma 0 0 0 0 1 0 0 0 0 3
Karthus 0 5 0 3 0 0 3 0 4 0
Kassadin 0 0 0 0 0 0 0 0 0 0
Katarina 0 0 0 0 0 0 0 0 0 0
Kayle 2 0 0 0 0 3 0 0 0 0
Kayn 0 2 0 0 0 0 3 0 0 0
Kennen 2 0 0 0 0 3 0 0 0 0
Kha'Zix 0 2 0 0 0 0 4 0 0 0
Kindred 0 1 0 0 0 0 4 0 0 0
Kled 2 0 0 0 0 4 0 0 0 0
Kog'Maw 0 0 0 1 0 0 0 0 4 0
LeBlanc 0 0 0 0 0 0 0 0 0 0
Lee_Sin 1 1 0 0 0 4 3 0 0 0
Leona 0 0 0 0 2 0 0 0 0 2
Lillia 3 5 0 0 0 2 3 0 0 0
Lissandra 0 0 0 0 0 0 0 0 0 0
Lucian 1 0 0 1 0 2 0 0 3 0
Lulu 0 0 0 0 0 0 0 0 0 0
Lux 0 0 0 6 3 0 0 0 2 2
Malphite 5 0 0 0 0 3 0 0 0 0
Malzahar 0 0 0 0 0 0 0 0 0 0
Maokai 4 4 0 0 2 2 5 0 0 4
Master_Yi 0 4 0 0 0 0 2 0 0 0
Miss_Fortune 0 0 0 3 0 0 0 0 2 0
Mordekaiser 3 2 0 0 0 3 4 0 0 0
Morgana 0 2 0 0 2 0 4 0 0 2
Nami 0 0 0 0 0 0 0 0 0 0
Nasus 4 0 0 0 0 4 0 0 0 0
Nautilus 0 0 0 0 0 0 0 0 0 0
Neeko 2 0 0 0 0 5 0 0 0 0
Nidalee 0 1 0 0 0 0 4 0 0 0
Nilah 0 0 0 1 0 0 0 0 5 0
Nocturne 0 3 0 0 0 0 3 0 0 0
Nunu 0 5 0 0 0 0 4 0 0 0
Olaf 2 3 0 0 0 2 1 0 0 0
Orianna 0 0 0 0 0 0 0 0 0 0
Ornn 2 0 0 0 6 1 0 0 0 5
Pantheon 3 3 0 0 0 3 4 0 0 0
Poppy 2 3 0 0 0 3 2 0 0 0
Pyke 0 0 0 0 1 0 0 0 0 5
Qiyana 0 6 0 0 0 0 5 0 0 0
Quinn 2 0 0 0 0 2 0 0 0 0
Rakan 0 0 0 0 0 0 0 0 0 0
Rammus 0 3 0 0 0 0 2 0 0 0
Rek'Sai 0 3 0 0 0 0 3 0 0 0
Rell 0 0 0 0 0 0 0 0 0 0
Renata 0 0 0 0 0 0 0 0 0 0
Renekton 3 0 0 0 0 1 0 0 0 0
Rengar 2 3 0 0 0 4 4 0 0 0
Riven 1 0 0 0 0 4 0 0 0 0
Rumble 5 6 0 0 0 4 3 0 0 0
Ryze 1 6 0 0 0 5 3 0 0 0
Samira 0 0 0 2 0 0 0 0 4 0
Sejuani 4 4 0 0 0 2 2 0 0 0
Senna 0 0 0 3 0 0 0 0 3 0
Seraphine 0 0 0 4 0 0 0 0 3 0
Sett 2 6 0 0 0 3 4 0 0 0
Shaco 0 3 0 0 6 0 4 0 0 5
Shen 3 6 0 0 0 1 5 0 0 0
Shyvana 3 2 0 0 0 3 3 0 0 0
Singed 2 0 0 0 0 4 0 0 0 0
Sion 2 0 0 0 0 2 0 0 0 0
Sivir 0 0 0 4 0 0 0 0 2 0
Skarner 0 4 0 0 0 0 3 0 0 0
Sona 0 0 0 0 0 0 0 0 0 0
Soraka 6 0 0 0 5 4 0 0 0 2
Swain 2 0 0 0 0 3 0 0 0 0
Sylas 2 0 0 0 0 1 0 0 0 0
Syndra 0 0 0 5 0 0 0 0 3 0
Tahm_Kench 4 0 0 0 0 4 0 0 0 0
Taliyah 0 1 0 0 0 0 4 0 0 0
Talon 0 2 0 0 0 0 3 0 0 0
Taric 6 0 0 0 0 3 0 0 0 0
Teemo 3 0 0 0 0 3 0 0 0 0
Thresh 0 0 0 0 1 0 0 0 0 5
Tristana 1 0 0 2 0 3 0 0 2 0
Trundle 3 5 0 0 0 4 3 0 0 0
Tryndamere 3 0 0 0 0 3 0 0 0 0
Twisted_Fate 0 0 0 0 0 0 0 0 0 0
Twitch 0 6 0 1 0 0 3 0 4 0
Udyr 0 2 0 0 0 0 3 0 0 0
Urgot 2 0 0 0 0 3 0 0 0 0
Varus 0 0 0 3 0 0 0 0 3 0
Vayne 1 0 0 1 0 5 0 0 3 0
Veigar 0 0 0 2 0 0 0 0 4 0
Vel'Koz 0 0 0 0 0 0 0 0 0 0
Vex 6 0 0 0 0 4 0 0 0 0
Vi 0 0 2 0 0 0 0 2 0 0
Viktor 6 0 0 0 0 4 0 0 0 0
Vladimir 1 0 0 0 0 3 0 0 0 0
Volibear 3 0 4 0 0 2 0 4 0 0
Warwick 4 0 4 0 0 2 0 1 0 0
Wukong 3 2 0 0 0 2 4 0 0 0
Xayah 0 0 0 2 0 0 0 0 2 0
Xerath 0 0 0 0 2 0 0 0 0 3
Xin_Zhao 4 4 0 0 0 5 3 0 0 0
Yasuo 1 0 0 6 0 4 0 0 3 0
Yone 2 0 0 0 0 5 0 0 0 0
Yorick 0 0 0 0 0 0 0 0 0 0
Yuumi 0 0 0 0 0 0 0 0 0 0
Zac 6 3 0 0 0 3 0 0 0 0
Zed 0 6 0 0 0 0 2 0 0 0
Zeri 0 0 0 1 0 0 0 0 4 0
Ziggs 0 0 0 4 6 0 0 0 2 4
Zilean 0 0 0 0 1 0 0 0 0 3
Zoe 0 0 0 0 0 0 0 0 0 0
Zyra 0 0 0 0 0 0 0 0 0 0
